country1,country2,weight
he,Sweden,11
nn,no,29
jv,Spain,8
jv,Mexico,8
Spain,arz,27
Mexico,arz,27
ko,vi,20
vi,it,36
ja,id,75
pl,lt,26
lt,France,48
lt,Canada,48
nn,lv,7
ka,China,43
it,hsb,41
hsb,cs,10
sr,ko,16
it,sh,11
sh,eo,9
sr,lv,20
hu,it,71
tr,he,16
mr,no,7
fa,ca,19
ja,it,95
bg,br,6
br,sh,7
France,hr,30
Canada,hr,30
hr,eo,11
eo,sh,5
sh,hu,13
hu,sl,13
sl,China,188
cs,mk,6
mk,ru,6
fi,pl,64
USA,mr,35
Canada,mr,35
mr,gu,11
gu,pam,6
ca,pnb,12
pnb,war,15
ne,sa,10
sa,ms,13
ru,pa,5
bg,fi,22
fi,sh,16
fa,Sweden,30
Sweden,tr,21
USA,hi,16
Canada,hi,16
gu,it,18
it,pam,11
Spain,ne,5
Mexico,ne,5
ms,sa,7
France,ml,8
Canada,ml,8
it,fi,53
eu,ru,27
ar,lv,10
lv,ga,6
eo,hu,76
de,lv,14
lv,pl,6
af,fa,11
Sweden,mr,6
gu,de,5
fa,ru,44
ru,sa,18
ms,ja,14
el,France,11
el,Canada,11
ru,hy,42
it,frr,6
Sweden,ru,249
de,vec,7
China,ar,57
fy,Netherlands,13
pt,br,23
tr,Sweden,13
France,ar,84
Canada,ar,84
ar,fi,26
ca,Sweden,114
Sweden,fa,67
el,ka,9
ka,hy,48
hy,he,5
hy,fi,15
ja,bg,6
bg,no,14
tr,it,44
it,he,18
Spain,et,18
Mexico,et,18
et,da,8
da,ar,12
sl,cs,13
China,ro,23
ro,fa,9
fa,pt,18
pt,hy,7
hu,ro,86
tr,de,84
no,vo,5
vo,ro,23
ro,lt,9
Sweden,bg,23
bg,nn,32
nn,France,45
nn,Canada,45
France,fy,12
Canada,fy,12
fy,ko,5
ko,cy,9
cy,simple,7
simple,China,23
China,ga,9
ga,Spain,19
ga,Mexico,19
uk,sco,10
is,fi,6
fi,tt,5
id,da,8
fi,France,70
fi,Canada,70
eo,fa,17
ru,nn,25
ja,war,7
af,China,9
sh,ar,9
uk,cs,43
cs,bg,14
ko,ga,8
hr,pt,22
tr,fi,16
ro,et,31
ca,lt,14
lt,China,37
hu,ka,10
war,la,11
ms,ar,15
el,sh,7
fa,ko,32
ko,de,25
hu,cs,51
sk,bg,5
bg,da,8
ru,sw,8
sco,China,15
uk,frr,5
pms,lmo,9
hu,hr,23
hr,bs,25
bs,sh,24
fy,France,6
fy,Canada,6
France,zea,6
Canada,zea,6
France,cy,28
Canada,cy,28
ru,de,374
Netherlands,nn,29
nn,et,8
et,cs,21
cs,uk,39
Spain,lv,10
Mexico,lv,10
bg,China,22
de,vo,16
hr,pl,28
fi,nn,15
nn,China,29
France,sh,27
Canada,sh,27
ru,az,21
de,da,41
ia,de,6
de,ar,111
uk,pt,43
cs,he,12
fa,szl,11
pl,ht,54
ht,sw,20
sw,Spain,23
sw,Mexico,23
cs,ro,20
ro,ko,5
ko,war,28
war,tr,19
Sweden,simple,30
ja,la,17
ms,no,62
ar,ro,70
fa,af,7
tr,hy,9
no,it,68
it,Sweden,89
ro,fi,21
France,simple,46
Canada,simple,46
nn,fy,5
cy,Spain,11
cy,Mexico,11
ga,sh,8
vo,pt,9
uk,da,7
da,ca,29
ro,ar,29
pl,be,14
be_x_old,China,7
ko,pt,24
pt,vi,15
vi,he,5
he,sh,5
et,hy,5
fi,Sweden,41
eo,Sweden,46
vo,Spain,8
vo,Mexico,8
sh,ru,16
ru,simple,34
de,nn,99
cy,ga,33
hu,sk,32
sk,pt,27
Netherlands,hu,19
mr,hi,22
hi,it,22
it,no,95
no,ne,8
ne,bh,13
bh,ru,12
sa,pnb,14
pnb,Spain,21
pnb,Mexico,21
Spain,or,9
Mexico,or,9
or,ur,13
ur,China,14
China,te,11
te,new,15
new,bn,8
bn,ta,16
ta,France,23
ta,Canada,23
France,mai,6
Canada,mai,6
mai,de,9
de,arz,33
war,fy,6
ceb,de,5
Sweden,uk,25
vo,simple,5
Sweden,ko,17
cy,la,8
pt,da,24
da,sh,8
tr,sq,7
el,pl,6
USA,be,6
Canada,be,6
Spain,sk,11
Mexico,sk,11
sk,China,18
China,hr,15
Spain,hu,39
Mexico,hu,39
fy,USA,9
fy,Canada,9
Netherlands,id,71
id,mr,5
ko,zh_classical,6
cs,zh_yue,6
zh_yue,it,23
fa,jv,8
fi,mzn,6
hu,mn,5
wuu,ca,5
ca,sco,7
pl,Sweden,94
it,et,23
uk,bg,21
nn,Spain,37
nn,Mexico,37
bg,ru,44
pt,cy,7
cy,ru,16
Netherlands,la,9
la,nn,11
ga,China,40
Spain,bar,7
Mexico,bar,7
ca,simple,12
France,ja,150
Canada,ja,150
France,af,16
Canada,af,16
pt,ro,43
ar,hu,17
France,bar,9
Canada,bar,9
Netherlands,et,14
uk,lv,41
pl,vo,6
ro,simple,12
cy,ar,6
no,nn,83
ru,ga,14
China,sh,44
hu,ja,19
la,cs,16
ru,no,76
it,hu,87
de,el,35
el,China,10
gu,no,11
no,ca,26
ca,ne,5
ru,Spain,208
ru,Mexico,208
Spain,sa,5
Mexico,sa,5
ar,pnb,10
Spain,lb,6
Mexico,lb,6
USA,ceb,91
Canada,ceb,91
bug,la,188
oc,war,136
war,an,51
an,ca,50
la,ru,122
ar,ja,15
USA,sl,120
